2015-08	159744029578.031
2015-09	56511301521.0332
2015-10	53901692120.5366
2015-11	53607614201.7968
2015-12	55899526672.3549
2016-01	56596270931.3169
2016-02	69180681134.3885
2016-03	32797039087.3567
2016-04	23361180502.7213
2016-05	23746277028.2632
2016-06	23021251389.8121
2016-07	22629542449.2417
2016-08	22396836435.9585
2016-09	25270403393.6261
2016-10	32112869584.9147
2016-11	24634294365.28
2016-12	50318068074.6813
2017-01	22507570807.7198
2017-02	23047230327.2543
2017-03	23232253600.8168
2017-04	22355124545.3953
2017-05	23572314972.0153
2017-06	30199442465.1287
2017-07	25460300456.233
2017-08	25905774673.9903
2017-09	30675106219.6376
2017-10	17506742628.9723
2017-11	15312465314.6935
2017-12	33423472930.4107
2018-01	52106060636.845
2018-02	23636574203.829
2018-03	15549765961.7433
2018-04	13153739247.93
2018-05	17422505108.9864
2018-06	16533308366.813
2018-07	27506077453.1543
2018-08	18483235826.8946
2018-09	15213870989.5234
2018-10	14526936383.35
2018-11	16034859008.6816
2018-12	16338844844.0147
2019-01	14611816445.7853
2019-02	28940599438.1488
2019-03	18083035519.5229
2019-04	11569797163.9942
2019-05	14479858767.7112
2019-06	15076119023.3323
